;A549CM8_S5-READs;A549CM4_S8-READs;A549CM1_S5-READs;A549CM2_S6-READs;A549KM4_S4-READs;A549KM1_S2-READs;A549CM3_S7-READs;A549KM0220321_S1-READs;A549KM2_S3-READs
hsa-let-7a-2-3p;12;8;13;6;17;45;10;50;122
hsa-let-7a-3p;219;82;85;101;269;249;102;379;1,361
hsa-let-7a-5p;96,948;27,461;54,771;77,057;67,891;68,339;61,817;91,473;324,447
hsa-let-7b-3p;127;31;67;74;93;97;70;157;424
hsa-let-7b-5p;38,709;9,269;19,360;27,799;23,744;23,911;22,433;36,623;118,638
hsa-let-7c-3p;7;5;9;11;27;34;12;68;135
hsa-let-7c-5p;2,728;691;1,214;1,771;1,572;1,596;1,402;2,092;7,613
hsa-let-7d-3p;74;13;35;55;22;30;48;91;152
hsa-let-7d-5p;4,494;944;1,760;2,481;1,565;1,660;1,902;2,008;8,276
hsa-let-7e-3p;25;10;13;23;67;88;26;67;321
hsa-let-7e-5p;19,144;4,801;11,093;15,342;14,197;13,539;12,520;19,077;68,484
hsa-let-7f-1-3p;35;8;12;14;23;29;12;50;71
hsa-let-7f-2-3p;17;7;8;13;20;23;7;21;119
hsa-let-7f-5p;57,362;14,624;25,045;35,208;27,980;29,960;27,746;48,903;134,331
hsa-let-7g-3p;27;17;17;21;18;8;27;18;72
hsa-let-7g-5p;10,552;4,032;5,855;7,591;6,146;6,239;5,945;6,995;28,630
hsa-let-7i-3p;1,290;505;537;834;524;602;666;865;2,464
hsa-let-7i-5p;188,980;44,350;74,614;105,853;72,625;77,321;80,728;151,397;339,742
hsa-miR-1-3p;28;0;4;3;2;3;4;2;23
hsa-miR-100-3p;250;144;228;263;317;320;212;569;1,453
hsa-miR-100-5p;5,506;5,289;4,721;8,429;6,748;13,164;7,309;4,025;42,795
hsa-miR-101-3p;8,647;4,059;5,462;6,369;4,737;4,001;5,848;5,152;20,512
hsa-miR-101-5p;42;17;21;34;14;21;31;16;85
hsa-miR-103a-2-5p;1;5;4;3;6;4;2;1;25
hsa-miR-103a-3p;17,803;6,940;12,107;18,601;11,742;12,223;15,819;10,603;60,744
hsa-miR-103b;488;186;410;502;379;367;457;376;2,020
hsa-miR-105-3p;18;3;2;9;10;6;17;12;41
hsa-miR-105-5p;202;96;177;274;143;200;212;119;955
hsa-miR-106a-3p;7;1;4;7;5;9;11;3;60
hsa-miR-106a-5p;32;16;20;32;27;27;21;25;124
hsa-miR-106b-3p;749;298;552;794;628;771;784;456;3,940
hsa-miR-106b-5p;188;122;137;179;197;182;149;128;920
hsa-miR-107;3,156;1,383;2,076;2,939;2,892;3,102;2,614;2,542;14,658
hsa-miR-10a-3p;213;71;126;171;130;135;150;210;681
hsa-miR-10a-5p;4,943;2,040;2,881;4,746;3,500;4,454;3,899;3,353;19,175
hsa-miR-10b-3p;42;5;17;23;22;22;25;32;116
hsa-miR-10b-5p;702;321;427;634;534;779;566;455;3,151
hsa-miR-1178-3p;2;1;3;6;4;2;1;1;14
hsa-miR-1179;5;4;2;4;8;4;9;7;24
hsa-miR-1180-3p;187;111;176;336;207;296;214;118;1,296
hsa-miR-1180-5p;3;0;0;7;0;2;1;1;15
hsa-miR-1182;4;0;1;3;5;3;1;1;17
hsa-miR-1185-1-3p;2;0;4;4;7;6;9;21;76
hsa-miR-1185-2-3p;4;0;1;7;3;1;2;3;22
hsa-miR-1185-5p;6;4;6;4;10;7;5;4;42
hsa-miR-1199-3p;5;2;4;7;12;9;8;11;62
hsa-miR-1199-5p;5;2;11;20;5;8;9;12;52
hsa-miR-1203;8;2;2;7;6;18;3;11;72
hsa-miR-1208;2;18;13;10;5;2;3;0;17
hsa-miR-122-5p;15;5;8;9;28;28;16;25;197
hsa-miR-1224-3p;5;0;2;5;2;0;6;3;15
hsa-miR-1226-3p;6;2;7;4;4;11;12;7;42
hsa-miR-1228-3p;7;3;3;9;9;3;4;15;44
hsa-miR-1229-3p;6;3;5;9;1;1;7;2;13
hsa-miR-1229-5p;5;2;1;1;3;2;4;4;11
hsa-miR-1237-3p;3;0;3;8;3;3;5;6;10
hsa-miR-1237-5p;7;1;1;9;0;2;4;6;12
hsa-miR-1243;2;2;2;4;1;2;2;1;13
hsa-miR-1244;9;0;1;9;9;5;6;13;43
hsa-miR-1246;5;4;4;9;5;6;4;5;43
hsa-miR-1247-3p;6;1;3;12;4;10;2;4;22
hsa-miR-1247-5p;24;0;23;41;14;15;28;31;102
hsa-miR-1248;34;70;23;49;46;66;46;10;229
hsa-miR-1249-3p;8;3;5;18;16;37;11;13;113
hsa-miR-1250-3p;2;0;2;1;6;1;4;4;19
hsa-miR-1251-3p;0;1;3;0;1;0;0;0;13
hsa-miR-1252-3p;4;0;2;4;4;5;1;9;14
hsa-miR-1252-5p;10;3;4;4;8;7;6;11;39
hsa-miR-1254;9;3;8;15;8;11;12;13;58
hsa-miR-1255a;3;1;4;0;3;8;5;1;19
hsa-miR-1255b-5p;7;4;8;8;10;3;5;7;33
hsa-miR-1257;95;28;42;53;70;80;33;125;317
hsa-miR-1258;0;1;0;1;2;2;1;0;12
hsa-miR-125a-3p;282;67;141;190;148;137;158;190;774
hsa-miR-125a-5p;50,606;13,314;26,271;44,210;32,966;34,514;34,527;44,390;164,722
hsa-miR-125b-1-3p;123;122;149;290;146;235;231;112;954
hsa-miR-125b-2-3p;30;20;29;41;47;60;42;23;309
hsa-miR-125b-5p;30,026;10,736;18,259;25,849;22,909;22,292;22,945;29,109;108,347
hsa-miR-126-3p;4,838;990;1,849;2,425;2,323;2,441;2,021;3,226;11,115
hsa-miR-126-5p;1,166;227;391;511;625;509;459;653;2,762
hsa-miR-1260a;23;6;13;16;5;11;21;9;65
hsa-miR-1260b;42;28;65;92;35;45;63;33;199
hsa-miR-1262;6;0;3;3;4;8;3;9;24
hsa-miR-1264;0;0;2;0;4;4;2;1;14
hsa-miR-1265;0;0;3;2;2;0;0;1;13
hsa-miR-1266-5p;11;7;16;65;14;20;36;15;162
hsa-miR-1268a;3;2;6;7;46;36;4;57;228
hsa-miR-1268b;64;22;45;61;79;88;50;115;441
hsa-miR-1269a;27;4;12;14;19;18;12;36;80
hsa-miR-1269b;122;39;55;90;72;76;83;116;384
hsa-miR-127-3p;202;69;118;175;144;189;190;210;735
hsa-miR-127-5p;8;5;3;7;8;6;11;8;37
hsa-miR-1271-5p;5;1;1;2;1;4;2;2;15
hsa-miR-1272;26;13;24;27;16;14;24;15;74
hsa-miR-1273a;4;3;2;3;3;1;4;5;24
hsa-miR-1273c;4;1;6;5;7;6;4;8;33
hsa-miR-1273e;1;0;3;6;1;2;3;2;18
hsa-miR-1273f;4;0;3;4;2;1;6;2;12
hsa-miR-1273g-3p;5;3;3;4;2;4;5;2;22
hsa-miR-1275;95;5;45;91;54;64;81;106;307
hsa-miR-1276;9;3;3;10;2;3;1;4;22
hsa-miR-1277-3p;51;39;37;44;18;24;44;12;122
hsa-miR-1277-5p;657;449;420;573;553;592;492;390;2,723
hsa-miR-1278;8;2;2;6;3;8;9;6;34
hsa-miR-128-1-5p;10;4;6;10;15;11;7;19;75
hsa-miR-128-3p;2,175;697;1,401;1,984;1,935;1,858;1,529;2,333;9,864
hsa-miR-1282;3;0;0;0;0;2;2;2;11
hsa-miR-1283;2;2;6;4;5;1;3;2;11
hsa-miR-1284;9;5;4;10;8;6;10;6;33
hsa-miR-1285-3p;20;14;14;25;21;36;16;8;127
hsa-miR-1287-5p;73;29;44;62;57;64;58;66;283
hsa-miR-129-1-3p;1;1;1;2;4;4;1;0;13
hsa-miR-129-2-3p;3;0;1;3;2;0;2;5;15
hsa-miR-129-5p;10;3;11;8;13;9;3;13;32
hsa-miR-1292-5p;146;92;175;223;116;98;209;73;536
hsa-miR-1293;8;4;3;7;5;6;8;8;35
hsa-miR-1294;21;9;13;17;18;12;11;22;84
hsa-miR-1295b-3p;3;1;0;1;5;3;0;2;24
hsa-miR-1296-3p;1;3;0;5;4;9;3;2;27
hsa-miR-1296-5p;26;6;11;17;38;59;15;84;342
hsa-miR-1298-5p;6;0;0;4;3;2;6;9;15
hsa-miR-1299;196;43;103;123;136;134;110;143;543
hsa-miR-1301-3p;176;40;107;224;94;109;146;125;568
hsa-miR-1303;32;10;36;68;39;32;48;39;209
hsa-miR-1304-3p;11;3;11;11;13;11;5;11;55
hsa-miR-1304-5p;38;18;34;37;58;53;46;47;224
hsa-miR-1305;5;4;5;5;6;7;4;2;28
hsa-miR-1306-3p;4;0;5;1;3;3;4;3;23
hsa-miR-1306-5p;20;9;8;21;25;19;15;28;115
hsa-miR-1307-3p;549;108;434;887;262;296;632;454;1,582
hsa-miR-1307-5p;684;457;493;591;546;687;617;487;3,429
hsa-miR-130a-3p;2,762;1,261;1,837;2,402;1,655;1,631;2,058;1,752;7,264
hsa-miR-130b-3p;286;101;143;208;182;194;197;305;894
hsa-miR-130b-5p;41;24;38;44;58;95;55;49;389
hsa-miR-132-3p;696;338;431;662;556;736;478;341;3,141
hsa-miR-132-5p;149;75;89;116;87;87;122;59;422
hsa-miR-133a-3p;12;3;3;4;5;4;6;2;22
hsa-miR-133b;23;1;14;16;16;23;15;24;83
hsa-miR-134-5p;88;36;41;87;56;77;79;133;333
hsa-miR-1343-3p;6;0;1;0;4;2;4;2;16
hsa-miR-135a-5p;22;6;7;8;9;7;5;8;44
hsa-miR-135b-3p;1;0;3;3;1;4;4;2;21
hsa-miR-135b-5p;71;53;62;61;31;39;60;26;189
hsa-miR-136-3p;40;17;30;30;19;28;24;34;109
hsa-miR-136-5p;38;43;28;48;38;51;40;17;214
hsa-miR-137;1,086;426;522;735;568;671;652;560;3,027
hsa-miR-138-1-3p;83;48;53;96;72;101;75;63;397
hsa-miR-138-2-3p;2;0;1;0;2;4;1;0;14
hsa-miR-138-5p;4,514;3,017;3,671;4,927;3,905;4,816;4,723;2,720;20,993
hsa-miR-139-5p;4;2;6;8;7;2;8;5;19
hsa-miR-140-3p;1,550;480;853;1,315;1,004;969;1,132;1,188;4,868
hsa-miR-140-5p;333;149;178;231;228;230;202;255;1,124
hsa-miR-141-3p;282;108;168;193;129;118;150;86;600
hsa-miR-141-5p;6;5;6;4;3;5;1;7;33
hsa-miR-142-3p;280;24;114;213;136;87;119;142;642
hsa-miR-142-5p;114;19;187;465;189;49;202;17;760
hsa-miR-143-3p;703;28;36;69;71;64;55;43;325
hsa-miR-144-3p;11;1;1;4;0;1;2;4;7
hsa-miR-144-5p;4;0;5;6;5;0;3;4;16
hsa-miR-145-3p;1;0;0;0;4;1;0;1;13
hsa-miR-145-5p;35;4;8;8;5;3;3;1;24
hsa-miR-1468-5p;21;9;13;13;9;13;9;8;54
hsa-miR-146a-3p;91;27;30;60;1;0;44;1;12
hsa-miR-146a-5p;10,056;2,470;4,820;6,372;87;12;5,526;31;145
hsa-miR-146b-3p;1;3;3;3;1;1;4;1;13
hsa-miR-146b-5p;214;58;144;156;79;93;158;95;444
hsa-miR-147b;1,857;1,145;1,444;1,744;29;7;1,440;8;48
hsa-miR-148a-3p;353;161;243;361;258;219;245;246;1,119
hsa-miR-148a-5p;4;2;3;2;1;6;5;1;20
hsa-miR-148b-3p;4,185;1,549;2,628;3,251;3,461;3,044;2,852;3,686;15,303
hsa-miR-148b-5p;128;52;64;106;69;62;74;54;324
hsa-miR-149-3p;8;6;7;14;3;6;13;5;41
hsa-miR-149-5p;236;115;135;182;385;474;186;313;2,150
hsa-miR-150-5p;45;3;43;139;44;14;57;6;227
hsa-miR-151a-3p;7,002;2,151;4,080;5,676;4,058;3,830;4,509;5,843;18,971
hsa-miR-151b/151a-5p;1,010;361;631;759;547;494;567;608;2,553
hsa-miR-152-3p;2,066;657;1,117;1,379;1,460;1,296;1,176;1,773;6,781
hsa-miR-152-5p;14;7;5;10;3;16;5;10;35
hsa-miR-153-3p;10;7;12;6;5;6;8;6;33
hsa-miR-1537-3p;0;1;1;5;1;6;1;0;18
hsa-miR-1537-5p;1;0;0;1;2;1;1;0;18
hsa-miR-1539;37;10;23;25;21;16;29;19;95
hsa-miR-154-3p;2;3;1;4;4;5;6;4;17
hsa-miR-154-5p;21;12;11;25;23;23;22;13;112
hsa-miR-155-5p;764;175;319;464;23;14;359;9;83
hsa-miR-15a-3p;2;1;3;4;14;5;4;9;51
hsa-miR-15a-5p;1,876;1,200;1,085;1,477;1,640;1,818;1,415;1,170;8,314
hsa-miR-15b-3p;566;194;276;356;602;631;318;758;2,874
hsa-miR-15b-5p;4,587;1,748;2,604;3,697;3,810;3,977;3,327;3,240;18,593
hsa-miR-16-1-3p;12;3;4;7;12;20;8;26;128
hsa-miR-16-2-3p;173;75;127;157;168;190;123;208;827
hsa-miR-16-5p;124,942;32,956;60,619;85,107;78,872;79,787;64,678;98,462;371,090
hsa-miR-17-3p;117;97;93;150;161;206;106;119;913
hsa-miR-17-5p;544;265;341;485;456;497;361;450;2,020
hsa-miR-181a-2-3p;493;191;294;388;477;612;416;601;2,482
hsa-miR-181a-3p;117;49;98;113;295;305;111;311;1,586
hsa-miR-181a-5p;2,264;1,933;1,669;3,160;1,971;4,419;2,343;1,158;13,463
hsa-miR-181b-2-3p;39;12;18;24;23;21;27;54;137
